File accession,File format,Output type,Experiment accession,Assay,Biosample term id,Biosample term name,Biosample type,Biosample life stage,Biosample sex,Biosample organism
ENCFF891NNX,bam,alignments,ENCSR087PLZ,ChIP-seq,UBERON:0001049,neural tube,tissue,embryonic,mixed,Mus musculus
ENCFF560GLI,bam,alignments,ENCSR087PLZ,ChIP-seq,UBERON:0001049,neural tube,tissue,embryonic,mixed,Mus musculus
ENCFF157WAC,bam,alignments,ENCSR069XHI,ChIP-seq,UBERON:0000948,heart,tissue,embryonic,mixed,Mus musculus
ENCFF905XOU,bam,alignments,ENCSR069XHI,ChIP-seq,UBERON:0000948,heart,tissue,embryonic,mixed,Mus musculus
ENCFF306NLD,bam,alignments,ENCSR107SLP,ChIP-seq,UBERON:0001049,neural tube,tissue,embryonic,mixed,Mus musculus
ENCFF802WLW,bam,alignments,ENCSR107SLP,ChIP-seq,UBERON:0001049,neural tube,tissue,embryonic,mixed,Mus musculus
ENCFF187LXA,bam,alignments,ENCSR239TSZ,ChIP-seq,UBERON:0000948,heart,tissue,embryonic,mixed,Mus musculus
ENCFF959ORU,bam,alignments,ENCSR239TSZ,ChIP-seq,UBERON:0000948,heart,tissue,embryonic,mixed,Mus musculus
ENCFF765GAE,bam,alignments,ENCSR580MEU,ChIP-seq,UBERON:0001049,neural tube,tissue,embryonic,mixed,Mus musculus
ENCFF157WLI,bam,alignments,ENCSR580MEU,ChIP-seq,UBERON:0001049,neural tube,tissue,embryonic,mixed,Mus musculus
ENCFF556KBV,bam,alignments,ENCSR380BBL,ChIP-seq,UBERON:0000948,heart,tissue,embryonic,mixed,Mus musculus
ENCFF023TPO,bam,alignments,ENCSR380BBL,ChIP-seq,UBERON:0000948,heart,tissue,embryonic,mixed,Mus musculus
ENCFF300ZWX,bam,alignments,ENCSR973AYQ,ChIP-seq,UBERON:0001049,neural tube,tissue,embryonic,mixed,Mus musculus
ENCFF012CSN,bam,alignments,ENCSR973AYQ,ChIP-seq,UBERON:0001049,neural tube,tissue,embryonic,mixed,Mus musculus
ENCFF443AKI,bam,alignments,ENCSR650UAC,ChIP-seq,UBERON:0000948,heart,tissue,embryonic,mixed,Mus musculus
ENCFF351OXP,bam,alignments,ENCSR650UAC,ChIP-seq,UBERON:0000948,heart,tissue,embryonic,mixed,Mus musculus
ENCFF033FTQ,bam,alignments,ENCSR918ZSJ,ChIP-seq,UBERON:0001049,neural tube,tissue,embryonic,mixed,Mus musculus
ENCFF912RCT,bam,alignments,ENCSR918ZSJ,ChIP-seq,UBERON:0001049,neural tube,tissue,embryonic,mixed,Mus musculus
ENCFF247HIU,bam,alignments,ENCSR663VWL,ChIP-seq,UBERON:0000948,heart,tissue,embryonic,mixed,Mus musculus
ENCFF155NAB,bam,alignments,ENCSR663VWL,ChIP-seq,UBERON:0000948,heart,tissue,embryonic,mixed,Mus musculus
ENCFF226HOB,bam,alignments,ENCSR289SWJ,ChIP-seq,UBERON:0001049,neural tube,tissue,embryonic,mixed,Mus musculus
ENCFF828RBX,bam,alignments,ENCSR289SWJ,ChIP-seq,UBERON:0001049,neural tube,tissue,embryonic,mixed,Mus musculus
ENCFF486JTJ,bam,alignments,ENCSR699XHY,ChIP-seq,UBERON:0000948,heart,tissue,embryonic,mixed,Mus musculus
ENCFF026OCE,bam,alignments,ENCSR699XHY,ChIP-seq,UBERON:0000948,heart,tissue,embryonic,mixed,Mus musculus
ENCFF751HOC,bam,alignments,ENCSR704IWS,ChIP-seq,UBERON:0001049,neural tube,tissue,embryonic,mixed,Mus musculus
ENCFF089HFY,bam,alignments,ENCSR704IWS,ChIP-seq,UBERON:0001049,neural tube,tissue,embryonic,mixed,Mus musculus
ENCFF375TJM,bam,alignments,ENCSR501GBJ,ChIP-seq,UBERON:0000948,heart,tissue,embryonic,mixed,Mus musculus
ENCFF491WXR,bam,alignments,ENCSR501GBJ,ChIP-seq,UBERON:0000948,heart,tissue,embryonic,mixed,Mus musculus
ENCFF101KOM,bam,alignments,ENCSR295GGT,ChIP-seq,UBERON:0001049,neural tube,tissue,embryonic,mixed,Mus musculus
ENCFF069WCH,bam,alignments,ENCSR295GGT,ChIP-seq,UBERON:0001049,neural tube,tissue,embryonic,mixed,Mus musculus
ENCFF371GCA,bam,alignments,ENCSR077QRY,ChIP-seq,UBERON:0000948,heart,tissue,embryonic,mixed,Mus musculus
ENCFF627MYB,bam,alignments,ENCSR077QRY,ChIP-seq,UBERON:0000948,heart,tissue,embryonic,mixed,Mus musculus
ENCFF634JIH,bam,alignments,ENCSR868FWZ,ChIP-seq,UBERON:0002107,liver,tissue,embryonic,mixed,Mus musculus
ENCFF117AUW,bam,alignments,ENCSR868FWZ,ChIP-seq,UBERON:0002107,liver,tissue,embryonic,mixed,Mus musculus
ENCFF348KVQ,bam,alignments,ENCSR462BZP,ChIP-seq,UBERON:0002101,limb,tissue,embryonic,mixed,Mus musculus
ENCFF066TXI,bam,alignments,ENCSR462BZP,ChIP-seq,UBERON:0002101,limb,tissue,embryonic,mixed,Mus musculus
ENCFF433WDT,bam,alignments,ENCSR780NWL,ChIP-seq,UBERON:0012314,embryonic facial prominence,tissue,embryonic,mixed,Mus musculus
ENCFF252OHP,bam,alignments,ENCSR780NWL,ChIP-seq,UBERON:0012314,embryonic facial prominence,tissue,embryonic,mixed,Mus musculus
ENCFF168EGN,bam,alignments,ENCSR190RKJ,ChIP-seq,UBERON:0002028,hindbrain,tissue,embryonic,mixed,Mus musculus
ENCFF585ZSP,bam,alignments,ENCSR190RKJ,ChIP-seq,UBERON:0002028,hindbrain,tissue,embryonic,mixed,Mus musculus
ENCFF597JKA,bam,alignments,ENCSR286OKN,ChIP-seq,UBERON:0001891,midbrain,tissue,embryonic,mixed,Mus musculus
ENCFF374JEH,bam,alignments,ENCSR286OKN,ChIP-seq,UBERON:0001891,midbrain,tissue,embryonic,mixed,Mus musculus
ENCFF555JTW,bam,alignments,ENCSR373TMR,ChIP-seq,UBERON:0001890,forebrain,tissue,embryonic,mixed,Mus musculus
ENCFF367JMT,bam,alignments,ENCSR373TMR,ChIP-seq,UBERON:0001890,forebrain,tissue,embryonic,mixed,Mus musculus
ENCFF598ZBW,bam,alignments,ENCSR037HCS,ChIP-seq,UBERON:0002107,liver,tissue,embryonic,mixed,Mus musculus
ENCFF707QLI,bam,alignments,ENCSR037HCS,ChIP-seq,UBERON:0002107,liver,tissue,embryonic,mixed,Mus musculus
ENCFF436USY,bam,alignments,ENCSR639IQR,ChIP-seq,UBERON:0002101,limb,tissue,embryonic,mixed,Mus musculus
ENCFF227IIG,bam,alignments,ENCSR639IQR,ChIP-seq,UBERON:0002101,limb,tissue,embryonic,mixed,Mus musculus
ENCFF019VFL,bam,alignments,ENCSR447BVY,ChIP-seq,UBERON:0012314,embryonic facial prominence,tissue,embryonic,mixed,Mus musculus
ENCFF297PGM,bam,alignments,ENCSR447BVY,ChIP-seq,UBERON:0012314,embryonic facial prominence,tissue,embryonic,mixed,Mus musculus
ENCFF370JCI,bam,alignments,ENCSR972MUO,ChIP-seq,UBERON:0002028,hindbrain,tissue,embryonic,mixed,Mus musculus
ENCFF669UYV,bam,alignments,ENCSR972MUO,ChIP-seq,UBERON:0002028,hindbrain,tissue,embryonic,mixed,Mus musculus
ENCFF074QNE,bam,alignments,ENCSR066WUD,ChIP-seq,UBERON:0001891,midbrain,tissue,embryonic,mixed,Mus musculus
ENCFF519ZML,bam,alignments,ENCSR066WUD,ChIP-seq,UBERON:0001891,midbrain,tissue,embryonic,mixed,Mus musculus
ENCFF632OMK,bam,alignments,ENCSR087JEN,ChIP-seq,UBERON:0001890,forebrain,tissue,embryonic,mixed,Mus musculus
ENCFF882PMB,bam,alignments,ENCSR087JEN,ChIP-seq,UBERON:0001890,forebrain,tissue,embryonic,mixed,Mus musculus
ENCFF065AXF,bam,alignments,ENCSR550QED,ChIP-seq,UBERON:0002107,liver,tissue,embryonic,mixed,Mus musculus
ENCFF219RJB,bam,alignments,ENCSR550QED,ChIP-seq,UBERON:0002107,liver,tissue,embryonic,mixed,Mus musculus
